customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
103,"Tran Viet Thang ",Schmitt,"Carine ",40.32.2555,"54, rue Royale",NULL,Nantes,NULL,44000,France,1370,21000.00
114,"Australian Collectors, Co.",Ferguson,Peter,"03 9520 4555","636 St Kilda Road","Level 3",Melbourne,Victoria,3004,Australia,1611,117300.00
119,"La Rochelle Gifts",Labrune,"Janine ",40.67.8555,"67, rue des Cinquante Otages",NULL,Nantes,NULL,44000,France,1370,118200.00
121,"Baane Mini Imports",Bergulfsen,"Jonas ","07-98 9555","Erling Skakkes gate 78",NULL,Stavern,NULL,4110,Norway,1504,81700.00
128,"Blauer See Auto, Co.",Keitel,Roland,"+49 69 66 90 2555","Lyonerstr. 34",NULL,Frankfurt,NULL,60528,Germany,1504,59700.00
131,"Land of Toys Inc.",Lee,Kwai,2125557818,"897 Long Airport Avenue",NULL,NYC,NY,10022,USA,1323,114900.00
141,"Euro+ Shopping Channel",Freyre,"Diego ","(91) 555 94 44","C/ Moralzarzal, 86",NULL,Madrid,NULL,28034,Spain,1370,227600.00
144,"Volvo Model Replicas, Co",Berglund,"Christina ","0921-12 3555","Berguvsvägen  8",NULL,Luleå,NULL,"S-958 22",Sweden,1504,53100.00
145,"Danish Wholesale Imports",Petersen,"Jytte ","31 12 3555","Vinbæltet 34",NULL,Kobenhavn,NULL,1734,Denmark,1401,83400.00
146,"Saveley & Henriot, Co.",Saveley,"Mary ",78.32.5555,"2, rue du Commerce",NULL,Lyon,NULL,69004,France,1337,123900.00
148,"Dragon Souveniers, Ltd.",Natividad,Eric,"+65 221 7555","Bronz Sok.","Bronz Apt. 3/6 Tesvikiye",Singapore,NULL,079903,Singapore,1621,103800.00
166,"Handji Gifts& Co",Victorino,Wendy,"+65 224 1555","106 Linden Road Sandown","2nd Floor",Singapore,NULL,069045,Singapore,1612,97900.00
167,"Herkku Gifts",Oeztan,Veysel,"+47 2267 3215","Brehmen St. 121","PR 334 Sentrum",Bergen,NULL,"N 5804","Norway  ",1504,96800.00
171,"Daedalus Designs Imports",Rancé,"Martine ",20.16.1555,"184, chaussée de Tournai",NULL,Lille,NULL,59000,France,1370,82900.00
172,"La Corne D'abondance, Co.",Bertrand,Marie,"(1) 42.34.2555","265, boulevard Charonne",NULL,Paris,NULL,75012,France,1337,84300.00
175,"Gift Depot Inc.",King,Julie,2035552570,"25593 South Bay Ln.",NULL,Bridgewater,CT,97562,USA,1323,84300.00
177,"Osaka Souveniers Co.",Kentary,Mory,"+81 06 6342 5555","1-6-20 Dojima",NULL,Kita-ku,Osaka," 530-0003",Japan,1621,81200.00
186,"Toys of Finland, Co.",Karttunen,Matti,"90-224 8555","Keskuskatu 45",NULL,Helsinki,NULL,21240,Finland,1501,96500.00
187,"AV Stores, Co.",Ashworth,Rachel,"(171) 555-1555","Fauntleroy Circus",NULL,Manchester,NULL,"EC2 5NT",UK,1501,136800.00
189,"Clover Collections, Co.",Cassidy,Dean,"+353 1862 1555","25 Maiden Lane","Floor No. 4",Dublin,NULL,2,Ireland,1504,69400.00
201,"UK Collectables, Ltd.",Devon,Elizabeth,"(171) 555-2282","12, Berkeley Gardens Blvd",NULL,Liverpool,NULL,"WX1 6LT",UK,1501,92700.00
202,"Canadian Gift Exchange Network",Tamuri,"Yoshi ","(604) 555-3392","1900 Oak St.",NULL,Vancouver,BC,"V3F 2K1",Canada,1323,90300.00
209,"Mini Caravy",Citeaux,"Frédérique ",88.60.1555,"24, place Kléber",NULL,Strasbourg,NULL,67000,France,1370,53800.00
211,"King Kong Collectables, Co.",Gao,Mike,"+852 2251 1555","Bank of China Tower","1 Garden Road","Central Hong Kong",NULL,NULL,"Hong Kong",1621,58600.00
216,"Enaco Distributors",Saavedra,"Eduardo ","(93) 203 4555","Rambla de Cataluña, 23",NULL,Barcelona,NULL,08022,Spain,1702,60300.00
227,"Heintze Collectables",Ibsen,Palle,"86 21 3555","Smagsloget 45",NULL,Århus,NULL,8200,Denmark,1401,120800.00
240,giftsbymail.co.uk,Bennett,"Helen ","(198) 555-8888","Garden House","Crowther Way 23",Cowes,"Isle of Wight","PO31 7PJ",UK,1501,93900.00
242,"Alpha Cognac",Roulet,"Annette ",61.77.6555,"1 rue Alsace-Lorraine",NULL,Toulouse,NULL,31000,France,1370,61100.00
249,"Amica Models & Co.",Accorti,"Paolo ",011-4988555,"Via Monte Bianco 34",NULL,Torino,NULL,10100,Italy,1401,113000.00
250,"Lyon Souveniers","Da Silva",Daniel,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",NULL,Paris,NULL,75508,France,1337,68100.00
256,"Auto Associés & Cie.",Tonini,"Daniel ",30.59.8555,"67, avenue de l'Europe",NULL,Versailles,NULL,78000,France,1370,77900.00
259,"Toms Spezialitäten, Ltd",Pfalzheim,"Henriette ",0221-5554327,"Mehrheimerstr. 369",NULL,Köln,NULL,50739,Germany,1504,120400.00
260,"Royal Canadian Collectables, Ltd.",Lincoln,"Elizabeth ","(604) 555-4555","23 Tsawassen Blvd.",NULL,Tsawassen,BC,"T2F 8M4",Canada,1323,89600.00
276,"Anna's Decorations, Ltd",O'Hara,Anna,"02 9936 8555","201 Miller Street","Level 15","North Sydney",NSW,2060,Australia,1611,107800.00
